load,strategy,requests,accepted,acceptance_rate,initial_osnr_median_dB,initial_osnr_p5_dB,initial_osnr_min_dB,initial_log10ber_median,initial_ber_gt_fec_rate,time_osnr_median_dB,time_osnr_p5_dB,time_osnr_min_dB,time_log10ber_median,time_ber_gt_1e7_rate,time_ber_gt_fec_rate,mean_hops,median_hops
Low,Baseline,10,10,1.0,17.02005497514773,14.95625116816336,14.641630710678777,-10.513201552002963,0.0,16.129882293650557,-22.092449936755436,-29.362259664281787,-8.60057348379764,0.24615384615384617,0.08461538461538462,4.9,4.0
Low,QoT-GLR,10,10,1.0,16.633357871210524,14.64920532635931,14.487348420732447,-9.587619930243704,0.0,16.14599176070059,14.356987465000302,-21.39049945183013,-8.62891924244772,0.16923076923076924,0.007692307692307693,4.9,4.0
Medium,Baseline,50,50,1.0,16.16797812773204,-27.172457546979558,-27.172496061898865,-8.667839735339022,0.22,16.05129321414834,-22.726749255053534,-30.01404583166235,-8.46377347611865,0.3569230769230769,0.08153846153846153,5.68,6.0
Medium,QoT-GLR,50,50,1.0,15.842566504391643,13.652428756688652,-27.122420363505398,-8.112221012610878,0.02,16.030637148812175,13.258259472669872,-29.84464700388429,-8.428166004085146,0.32769230769230767,0.043076923076923075,5.64,6.0
High,Baseline,200,200,1.0,16.460361390460825,-27.12246143170436,-27.17247896472729,-9.20316342860151,0.135,16.0577903557937,-20.673867786300804,-30.014075996365808,-8.474955337033721,0.29615384615384616,0.061153846153846156,5.625,6.0
High,QoT-GLR,200,200,1.0,16.06403943162621,14.010698507788385,-27.122286456735452,-8.485810015603988,0.01,16.03558573298971,13.60702524790306,-30.014076907835765,-8.436671949410272,0.2853846153846154,0.03346153846153846,5.625,6.0
