load,strategy,time_seconds,time_min,mean_path_fsl_sum_dB,mean_max_solar_penalty_dB,mean_max_doppler_penalty_mdB,mean_max_edfa_gain_deg_dB,mean_max_xt_noise_dBm,mean_osnr_dB,mean_abs_osnr_delta_dB
Low,Baseline,0.0,0.0,1309.6885665141644,0.0,0.17527782136650363,0.053290182552334954,-133.43935777504282,17.198292887676963,0.0
Low,Baseline,300.0,5.0,1311.1653439189943,10.298446049136567,0.21203392550133776,0.07350708216187926,-134.49779239036474,7.500698486346614,9.756251585182481
Low,Baseline,600.0,10.0,1313.1960085373917,5.480410948620921,0.1953807710860715,0.09924626874143455,-136.28342167739567,12.09058516212619,5.200245289514077
Low,Baseline,900.0,15.0,1315.0392985873095,15.011387621601017,0.1566239282045869,0.11512081333442128,-138.96564705860254,3.107254866363457,14.173905552890782
Low,Baseline,1200.0,20.0,1316.0371672972271,4.489146803196244,0.11754593663844322,0.12231055309972497,-139.81333386727732,12.306575377132425,4.8917175105445425
Low,Baseline,1500.0,25.0,1316.036604964649,3.208831702772663,0.11131581063847733,0.12802145295696554,-140.28554217370493,13.906204565334644,3.2920883223423223
Low,Baseline,1800.0,30.0,1315.148972507371,0.5985792824131181,0.13685090177591852,0.12935107643305527,-140.03839903969245,16.181039768525565,1.017253119151403
Low,Baseline,2100.0,35.0,1313.210004756946,7.823301275777795e-06,0.1441304995189047,0.11891923542383412,-137.91699656048863,16.736744202948053,0.46154868472891425
Low,Baseline,2400.0,40.0,1310.942389898622,5.234797721721454,0.14279733884008078,0.09784578580197811,-135.79580379272778,13.307568217172445,3.927101811119235
Low,Baseline,2700.0,45.0,1309.6357285575,0.0,0.16270107731729816,0.0863750016623296,-134.16917319630582,17.15590448108815,0.12221715040438799
Low,Baseline,3000.0,50.0,1310.2036975015842,0.0,0.24690149970341851,0.07977473245064459,-133.7330296275911,17.1380299830987,0.13956937237333272
Low,Baseline,3300.0,55.0,1312.0612119970285,0.0,0.3109510536924564,0.07113739647836745,-135.04868432425974,16.983452271993947,0.41424842035199844
Low,Baseline,3600.0,60.0,1314.087870769875,4.840060604374275,0.2555047419902969,0.050996977626371655,-137.60557276713456,12.736137037585696,4.6805743433621005
Low,QoT-GLR,0.0,0.0,1312.9162648107329,0.0,0.10015818535966656,0.05948692847654412,-138.32269002136687,16.869826922683853,0.0
Low,QoT-GLR,300.0,5.0,1313.5253008512343,0.0,0.17234756482674887,0.07917525065656744,-139.07685415465707,16.78634705013291,0.1910109519996352
Low,QoT-GLR,600.0,10.0,1313.6246786405434,0.0,0.17125407751850913,0.09946501424525735,-139.3931182085749,16.7138320385177,0.4129602823116281
Low,QoT-GLR,900.0,15.0,1313.0729912952688,5.24768007297382,0.1314073007235366,0.10765916904985914,-138.06593691754512,13.009594391247708,4.2817427549158005
Low,QoT-GLR,1200.0,20.0,1312.918771468867,1.3500311979441903e-14,0.13862729579414673,0.11301313964015787,-138.21083546040927,16.712280373926404,0.812326378937198
Low,QoT-GLR,1500.0,25.0,1313.0001505970092,2.302503367259483,0.18718611095360796,0.11797628104073248,-137.90195945015495,16.36491087027993,0.8092848494926951
Low,QoT-GLR,1800.0,30.0,1313.1009048716219,0.0,0.17000602681433788,0.12048309098898995,-137.36059464103715,16.770049278069283,0.7023838285855449
Low,QoT-GLR,2100.0,35.0,1313.2995689077513,0.0,0.18359245643235847,0.11461089274924771,-137.14844841601607,16.806262497536828,0.477356128726807
Low,QoT-GLR,2400.0,40.0,1313.2497141342467,0.0,0.22267233588860397,0.09517197565417282,-138.49928291091982,16.85530460791963,0.22461024117726983
Low,QoT-GLR,2700.0,45.0,1312.8846776594721,0.0,0.1662232477818023,0.07608248054394792,-138.23624753531638,16.876285960055856,0.1181299271685539
Low,QoT-GLR,3000.0,50.0,1313.1682822809703,0.0,0.12823693983643897,0.06246790984872108,-138.8627182409087,16.839801570240944,0.10090959649490525
Low,QoT-GLR,3300.0,55.0,1313.6859509140995,0.0,0.24027862801455124,0.050537385432529766,-139.3530330466799,16.785685457193733,0.29226360649469124
Low,QoT-GLR,3600.0,60.0,1313.3905719815498,0.0,0.16590371585292157,0.04192556302054011,-138.66938246847022,16.760393592869836,0.537728495510032
Medium,Baseline,0.0,0.0,1514.9162327227712,10.838890734840302,0.1667044114316578,0.07407656531709769,-131.67525581513715,7.768349694035659,0.0
Medium,Baseline,300.0,5.0,1516.7071532043692,1.7134383832350164,0.21093390260365305,0.0798239154079306,-132.9139311556857,15.582698434361141,8.106019487211364
Medium,Baseline,600.0,10.0,1520.0343178606286,3.1526678303318563,0.2649565049181055,0.08368241526298476,-135.26655463507905,14.102586803489372,10.70452741304181
Medium,Baseline,900.0,15.0,1522.8410602820923,1.0786791939806775,0.21336629280474617,0.07718935825059957,-137.4512194273758,15.592255735467532,10.68818349809898
Medium,Baseline,1200.0,20.0,1524.157211581141,4.48922178564981,0.1684137244278568,0.07185020811979964,-138.20357095245095,12.395099624276854,12.329999010760616
