strategy,request_id,time_seconds,osnr_dB,ber,log10_ber,min_sun_angle_deg,max_link_distance_km,load
Baseline,9,600.0,14.13845278063037,1.6701252004828747e-06,-5.777250970863955,19.75426558860641,3899.742051799075,Low
Baseline,10,600.0,15.04040032042707,1.252125468914123e-07,-6.902352150576977,51.18786405129032,3899.7420517990704,Low
Baseline,1,900.0,-27.916000876921977,0.48536401546173386,-0.3139324250904224,7.970476133357354,3899.742051799074,Low
Baseline,2,900.0,18.803486672005306,9.031712187034931e-16,-15.044229910495638,22.40561533343122,3899.7420517990713,Low
Baseline,3,900.0,17.321486166235754,9.980308705679628e-12,-11.000856025135505,47.66748457965894,3899.742051799076,Low
Baseline,4,900.0,16.14364093753816,2.3725970926411115e-09,-8.62477600611438,46.15650014650546,3899.742051799073,Low
Baseline,5,900.0,17.502304593742224,3.760663622574365e-12,-11.424735510872486,45.894658736076956,3899.742051799076,Low
Baseline,6,900.0,-27.916112616361524,0.4853642036603362,-0.3139322566939281,7.970476133357354,3899.7420517990713,Low
Baseline,7,900.0,16.09495432854689,2.887638875413144e-09,-8.539457120043432,29.409545567716915,3899.742051799073,Low
Baseline,8,900.0,-27.916007733497178,0.4853640270100793,-0.3139324147571828,7.970476133357354,3899.742051799074,Low
Baseline,9,900.0,13.984404492236271,2.4739449792692133e-06,-5.6066099633429065,23.742910058266826,3899.742051799074,Low
Baseline,10,900.0,14.970392700110649,1.5605637223344075e-07,-6.806718493135663,39.672502154302656,3899.7420517990713,Low
Baseline,1,1200.0,17.689840125433772,1.3090840272136672e-12,-11.883032476150534,14.423551441945653,3899.742051799073,Low
Baseline,2,1200.0,-22.72663821536817,0.47341322392288737,-0.32475961502432676,9.065565854472714,3899.742051799073,Low
Baseline,3,1200.0,16.956094990954828,6.378237750982214e-11,-10.195299296316765,51.403942979845844,3899.742051799072,Low
Baseline,4,1200.0,16.136645645804478,2.440843931029521e-09,-8.612459988735033,52.04503405053078,3899.742051799073,Low
Baseline,5,1200.0,17.339787826297204,9.057811366548369e-12,-11.042976727958667,59.74354087970801,3899.742051799077,Low
Baseline,6,1200.0,14.931229786236159,1.7625149135250707e-07,-6.753867199536994,14.423551441945653,3899.742051799074,Low
Baseline,7,1200.0,16.065256588873776,3.2518449134339824e-09,-8.487870174900205,32.74121522187101,3899.742051799074,Low
Baseline,8,1200.0,17.717293026779313,1.1174658193170375e-12,-11.951765752051976,14.423551441945653,3899.742051799073,Low
Baseline,9,1200.0,13.967679892779056,2.579695405473223e-06,-5.588431569824178,36.38374822945036,3899.7420517990768,Low
Baseline,10,1200.0,14.98856410353383,1.4743537847270393e-07,-6.831398291023246,30.96635131422812,3899.7420517990704,Low
Baseline,1,1500.0,17.230379407010503,1.607884949880169e-11,-10.793745029853584,30.8586293595917,3899.7420517990745,Low
Baseline,2,1500.0,18.25738152983512,4.031890894405683e-14,-13.394491228695138,16.32293535188989,3899.742051799074,Low
Baseline,3,1500.0,16.794857213859856,1.3791710246218378e-10,-9.860381875634092,52.99226441623745,3899.7420517990713,Low
Baseline,4,1500.0,16.126117712919857,2.5470604627669986e-09,-8.593960745521505,41.67313790653027,3899.742051799076,Low
