load,strategy,request_id,hops,max_distance_km,max_fsl_dB,max_path_fsl_sum_dB,max_solar_penalty_dB,max_doppler_penalty_mdB,max_edfa_gain_deg_dB,max_edfa_nf_inc_dB,max_xt_noise_dBm,min_osnr_dB,osnr_range_dB,osnr_std_dB
Medium,Baseline,3,3,3899.7420517990754,269.9982809489243,809.9948428467728,0.0,0.004486974105735299,0.030425377443235764,0.06085075488647153,-145.18359822922912,17.39304434763178,0.0003012079831989922,9.981000461656793e-05
Medium,Baseline,4,8,3899.7420517990754,269.9982809489243,2144.19504133098,52.5853402812552,0.5104053749774847,0.22573413274476206,0.4514682654895241,-128.8797813796885,-21.459237826396823,38.31537832538743,9.972664800368628
Medium,Baseline,5,6,3899.7420517990727,269.9982809489243,1604.4771621104023,0.0,0.49079052320625727,0.22002713786013386,0.44005427572026773,-126.26627724534274,16.259798823725518,0.757544927830196,0.2378520831503959
Medium,Baseline,6,2,3899.7420517990804,269.9982809489243,538.2021401671243,0.0,0.4514142217669826,0.06604385904906222,0.13208771809812445,-129.4654276448851,19.95971641610273,1.655350092448785,0.572971274794405
Medium,Baseline,7,5,3899.7420517990795,269.9982809489243,1339.2997244121145,52.608883103051326,0.48487871343860883,0.1666042784834529,0.3332085569669058,-129.58320187826044,-29.222464982079064,46.66745749864207,13.886568771510342
Medium,Baseline,8,6,3899.742051799079,269.9982809489243,1610.342571393057,0.0,0.48004793573181076,0.20447545160379554,0.4089509032075911,-127.93962333768634,15.582683064518381,0.6177468121599681,0.20761184410836134
Medium,Baseline,9,4,3899.742051799076,269.9982809489243,1079.993123795697,50.06505139251671,0.005434695995171005,0.03324413575818682,0.06648827151637364,-143.934210863146,-27.904290814573276,44.04789943666462,15.324079709244973
Medium,Baseline,10,5,3899.7420517990754,269.9982809489243,1348.2074036987356,45.634502754902314,0.43126783526090495,0.1273998762977868,0.2547997525955736,-129.06055994024197,-23.539900775720714,39.54732766287344,10.438418327717756
Medium,Baseline,11,6,3899.7420517990795,269.9982809489243,1610.1739506333383,51.692696086834374,0.5053806597546459,0.1477252955173478,0.2954505910346956,-129.58320193025935,-29.529969573153394,45.804715081236864,16.043363814593622
Medium,Baseline,12,7,3899.742051799076,269.9982809489243,1884.3960422998696,0.0,0.5104053749774847,0.22374553579892367,0.44749107159784735,-128.89320787868402,14.266351187135019,1.4720256135171077,0.49326967529371724
Medium,Baseline,13,2,3175.6369841633373,268.2141803408438,535.9042246576736,0.0,0.5256252489018152,0.05409214622409328,0.10818429244818656,-127.27365947011972,21.18905806534165,5.829947004272935,2.0700825067368753
Medium,Baseline,14,8,3899.742051799083,269.9982809489243,2154.5968851045154,52.1333204586259,0.5053806597546459,0.10568747205330141,0.21137494410660282,-127.1241119933839,-29.968340109536996,44.66392457300701,17.019446766088826
Medium,Baseline,15,3,3899.7420517990727,269.9982809489243,804.2558799363437,0.0,0.44554833597318866,0.03647486893815617,0.07294973787631234,-127.49115573400582,19.076251423549554,1.1820146446387447,0.4194919563694285
Medium,Baseline,16,8,3899.742051799083,269.9982809489243,2144.249413484871,7.898078006363107e-05,0.49859357584039227,0.22374553579892367,0.44749107159784735,-128.89160979007238,14.445496237057114,0.4617754644963856,0.14584284609405054
Medium,Baseline,17,3,3899.7420517990745,269.9982809489243,805.9379912353595,52.58533734683513,0.48546417217221305,0.06381747326488092,0.12763494652976184,-127.1405074914318,-27.12204986109519,48.05060776112265,15.939559109801525
Medium,Baseline,18,2,3899.7420517990763,269.9982809489243,539.9965618978486,50.03795873868199,0.005567919267665514,0.19365706193664645,0.3873141238732929,-149.95481077642575,-27.915979658850905,47.07358980078543,14.162259443714314
