strategy,request_id,accepted,hops,wavelength,initial_osnr_dB,initial_ber,q_factor,load
Baseline,82,True,2,4,21.626175279596197,1.7436260460725949e-28,11.00824637584068,High
Baseline,83,True,5,0,19.69233276608618,6.2008046415031175e-19,8.811016515282,High
Baseline,84,True,5,5,16.917675192585623,7.684436724592662e-11,6.401667843302107,High
Baseline,85,True,6,9,15.335336557827103,4.763732868720798e-08,5.335513275986386,High
Baseline,86,True,4,3,17.218566306338563,1.7092242961753196e-11,6.6273162047898895,High
Baseline,87,True,6,6,-27.122223901993795,0.4839641771988019,0.040206677078246385,High
Baseline,88,True,5,4,17.95093844786672,2.7904281884901954e-13,7.210349218114232,High
Baseline,89,True,1,0,22.050769184017504,3.2956368416821116e-31,11.559733879925759,High
Baseline,90,True,2,0,21.10746126654202,1.6960618204115367e-25,10.370087964168015,High
Baseline,91,True,3,7,21.39136501402578,4.3446819421528256e-27,10.714641082248932,High
Baseline,92,True,8,8,16.423483270180157,7.350664528100025e-10,6.047606713606624,High
Baseline,93,True,4,3,18.575125572461417,4.683288500582499e-15,7.747572618474136,High
Baseline,94,True,8,8,14.90535595318666,1.908965606101549e-07,5.077818512981287,High
Baseline,95,True,5,4,18.132535149987937,9.012466639334602e-14,7.3626835446489585,High
Baseline,96,True,6,5,15.229629811585534,6.785087584450576e-08,5.270973921943189,High
Baseline,97,True,4,6,-27.122141629012223,0.4839640253881674,0.04020705791878278,High
Baseline,98,True,1,1,22.15833351690414,6.09518087391039e-32,11.703777391637786,High
Baseline,99,True,7,9,14.962984670256033,1.597034187455553e-07,5.111620585845569,High
Baseline,100,True,6,4,-27.1224011476794,0.4839645042488025,0.04020585662258437,High
Baseline,101,True,4,0,18.002520884209996,2.0337440519744848e-13,7.253296337787862,High
Baseline,102,True,2,1,19.144674638837166,6.552307962371239e-17,8.272620634360775,High
Baseline,103,True,6,10,16.587324047593075,3.574286887862091e-10,6.162764601656453,High
Baseline,104,True,6,4,14.648414406263022,4.115501560382145e-07,4.929809044789592,High
Baseline,105,True,1,7,30.955326430213166,4.106939240812729e-228,32.22372172812795,High
Baseline,106,True,4,11,18.652895315778743,2.699435949307184e-15,7.817252548909744,High
Baseline,107,True,7,5,17.469653028944027,4.49875927993939e-12,6.821690764505993,High
Baseline,108,True,3,0,20.89711705724418,2.2071016780611026e-24,10.121974289537627,High
Baseline,109,True,1,1,25.676053012684985,3.1149539613635057e-69,17.54736975727487,High
Baseline,110,True,6,8,17.787584333425816,7.418072339386775e-13,7.076012536075737,High
Baseline,111,True,8,9,14.214579831617392,1.3685127371075105e-06,4.68962772406548,High
Baseline,112,True,10,9,14.743921609307458,3.109089752854561e-07,4.98431472766234,High
Baseline,113,True,6,10,18.574071176401702,4.718088919992754e-15,7.746632183518575,High
Baseline,114,True,1,0,25.918264215101384,4.4310517006894124e-73,18.043574941696463,High
Baseline,115,True,10,3,14.718337785145962,3.35360167491526e-07,4.9696552946474775,High
Baseline,116,True,5,2,16.478861735270254,5.777942673132109e-10,6.086287504473074,High
Baseline,117,True,6,8,18.438115892715274,1.2077247844196122e-14,7.626322586933739,High
Baseline,118,True,4,9,18.720227681719397,1.662158933855484e-15,7.878086791800531,High
Baseline,119,True,6,4,-27.17245729075051,0.4840566006482272,0.03997481959243926,High
Baseline,120,True,9,10,15.616063193847847,1.7863042321113803e-08,5.51077318718554,High
Baseline,121,True,8,12,14.650673917684456,4.0885681497322466e-07,4.931091631749998,High
Baseline,122,True,5,2,15.497004284270082,2.728298552522099e-08,5.435751460158151,High
Baseline,123,True,10,13,-27.122229085260777,0.4839641867629514,0.04020665308509334,High
Baseline,124,True,1,5,24.009252500642596,7.708137799992431e-48,14.483449253403574,High
Baseline,125,True,4,1,17.47515472415679,4.365350067283196e-12,6.826013033569352,High
Baseline,126,True,7,14,15.585749895276631,1.9918322137642732e-08,5.491574399107828,High
Baseline,127,True,8,15,16.471518022181048,5.966408020947111e-10,6.081143867872123,High
Baseline,128,True,1,0,22.16618112656702,5.380262937625884e-32,11.714356409346957,High
Baseline,129,True,5,6,18.086585794638903,1.2048973474666536e-13,7.3238369438343875,High
Baseline,130,True,6,11,16.695646926200304,2.1864213181603526e-10,6.240102497395251,High
Baseline,131,True,6,6,-27.122353364162755,0.4839644160803214,0.04020607780689406,High
Baseline,132,True,7,11,16.518011547630344,4.864857641893489e-10,6.113782075906836,High
Baseline,133,True,4,1,16.067379511907152,3.2244344968346585e-09,5.804680930169294,High
Baseline,134,True,11,10,13.97454004258889,2.535829748546039e-06,4.5618014520138335,High
Baseline,135,True,9,12,14.69117842799915,3.6325393865680514e-07,4.9541402639791885,High
Baseline,136,True,8,11,-27.12217013667658,0.4839640779908555,0.04020692595677558,High
Baseline,137,True,8,8,-27.122491152027372,0.4839646703203762,0.0402054400062892,High
Baseline,138,True,7,6,16.375061989359004,9.050758249989127e-10,6.013986881761858,High
Baseline,139,True,8,12,16.927352081304345,7.333286020578017e-11,6.408803870902966,High
Baseline,140,True,8,16,14.869176238379119,2.132737233704391e-07,5.056711643339525,High
Baseline,141,True,8,8,15.530592419504092,2.4237945487412487e-08,5.456812080116087,High
Baseline,142,True,5,3,19.59919667691085,1.427802859880918e-18,8.717043451906017,High
Baseline,143,True,1,1,21.860206230631057,5.9295191991071795e-30,11.308882415681461,High
Baseline,144,True,5,6,16.35858279192034,9.709863122883229e-10,6.002587735876232,High
Baseline,145,True,7,5,-27.12244269842147,0.4839645809163913,0.040205664290048265,High
Baseline,146,True,5,2,17.546603680672337,2.942738144018129e-12,6.882394471146969,High
Baseline,147,True,7,13,16.568776981937418,3.8834590791568755e-10,6.149619229446983,High
Baseline,148,True,4,2,19.17723281556843,5.046427517690963e-17,8.303687904008411,High
Baseline,149,True,6,7,-27.122286541566663,0.48396429278078185,0.04020638712291629,High
Baseline,150,True,3,1,20.047858881134676,2.172600024163767e-20,9.179146917252979,High
Baseline,151,True,7,6,14.298373393490992,1.0948008350021289e-06,4.735087913007687,High
Baseline,152,True,10,14,-27.17247896472729,0.4840566404106955,0.03997471984304494,High
Baseline,153,True,7,0,14.28786319131939,1.1261336892945725e-06,4.729361771435882,High
Baseline,154,True,5,5,19.747313493503615,3.758286683505054e-19,8.866966172869468,High
Baseline,155,True,8,7,-27.12249191395056,0.48396467172623187,0.04020543647948227,High
Baseline,156,True,8,10,14.318252133388086,1.037715709524091e-06,4.745937161444054,High
Baseline,157,True,7,7,16.4920300323744,5.454057147480292e-10,6.095521656543714,High
Baseline,158,True,7,8,15.805010847076176,8.908411009273439e-09,5.631964638481743,High
Baseline,159,True,9,10,15.818102543459606,8.479835787537298e-09,5.640459745819956,High
Baseline,160,True,6,9,-27.122364373465256,0.483964436394346,0.04020602684601258,High
Baseline,161,True,8,13,15.81465095386919,8.590905939151625e-09,5.638218791206097,High
Baseline,162,True,1,2,22.16131452057776,5.813209607950777e-32,11.707794825948428,High
Baseline,163,True,7,11,15.8127105723542,8.653945675555265e-09,5.636959383814934,High
Baseline,164,True,7,12,16.368807668873,9.295752750474743e-10,6.009658037589302,High
Baseline,165,True,5,7,18.023071828271014,1.7910874166838362e-13,7.270478062888009,High
Baseline,166,True,6,10,18.429408881730925,1.2813992377143363e-14,7.6186815499822975,High
Baseline,167,True,9,15,14.744958104997558,3.099540340196079e-07,4.984909546294162,High
Baseline,168,True,6,2,16.423812990429994,7.340200789126737e-10,6.047836287815715,High
Baseline,169,True,2,14,26.851521539366082,4.4899658686489395e-90,20.09025522124085,High
Baseline,170,True,8,17,14.863509505224206,2.1699124438830817e-07,5.053413686379361,High
Baseline,171,True,8,16,-27.122409616268335,0.48396451987469735,0.04020581742260362,High
Baseline,172,True,5,17,19.75157702671881,3.614206775225499e-19,8.871319657224559,High
Baseline,173,True,1,7,31.061084314075543,1.122168839993048e-233,32.6184704873618,High
Baseline,174,True,1,0,22.16510749248802,5.472957172368031e-32,11.712908525996578,High
Baseline,175,True,7,16,17.470658048978557,4.474100532588599e-12,6.822480128961367,High
Baseline,176,True,5,18,19.030459983371387,1.6131474417471636e-16,8.16455231476739,High
Baseline,177,True,4,0,21.440236869596994,2.256511430963896e-27,10.775097793513886,High
Baseline,178,True,7,10,-27.1222041808624,0.4839641408093743,0.04020676836677235,High
Baseline,179,True,7,13,16.710554394179063,2.0414966737772444e-10,6.250821491732259,High
Baseline,180,True,8,19,16.140917443924057,2.398950662197996e-09,5.854034117297372,High
Baseline,181,True,7,11,15.772947574564117,1.0045663399925841e-08,5.611213012879668,High
